,Predictions,Scores,TER scores,Z_scores
26,In Tokio treffen sich die Staats- und Regierungschefs von Indien,-2.6459947,0.7454545454545455,-1.9005401545454546
27,Treffen der Premierminister von Indien und Japan in Tokyo,-2.6512182,0.12727272727272726,-2.5239454727272728
28,Gipfeltreffen der Premierminister Indiens und Japans in Tokio,-2.655328,0.12727272727272726,-2.5280552727272725
29,Premierminister von Indien und Japan treffen in Tokio zusammen,-2.6625612000000003,0.34545454545454546,-2.317106654545455
30,Premierminister Indiens und Japans treffen sich in Tokio,-2.6660939999999997,0.12727272727272726,-2.5388212727272723
31,Indien und Japan treffen sich Premierminister in Tokio,-2.6661932,0.2,-2.4661931999999998
32,Treffen der Staats- und Regierungschefs von Indien und Japan in Tokyo,-2.6889286,0.509090909090909,-2.179837690909091
33,Staats- und Regierungschefs Indiens und Japans treffen sich in Toki,-2.6917605,0.509090909090909,-2.182669590909091
34,Indien und Japan treffen Premierminister in Tokio zusammen,-2.6917887,0.32727272727272727,-2.364515972727273
35,Treffen von Staats- und Regierungschefs aus Indien und Japan in Toki,-2.6922598,0.5636363636363636,-2.1286234363636365
36,Indiens und Japans Premierminister treffen in Tokio zusammen,-2.7015164,0.4909090909090909,-2.2106073090909093
37,In Tokio treffen sich Premierminister aus Indien und Japan .,-2.7082357000000004,0.36363636363636365,-2.3445993363636366
38,In Tokio treffen sich die Minister Indiens und Japans,-2.7160075,0.2727272727272727,-2.4432802272727274
39,Besuch der Premierminister Indiens und Japans in Tokio,-2.717787,0.10909090909090909,-2.608696090909091
40,Treffen zwischen Indien und Japan und Premierministern in Toki,-2.734506,0.2727272727272727,-2.461778727272727
41,In Tokio treffen sich Staats- und Regierungschefs Indiens und,-2.7372384,0.6909090909090909,-2.046329309090909
42,Indiens und Japans Ministerpräsidenten treffen sich in Tokio,-2.771814,0.36363636363636365,-2.4081776363636362
43,Treffen der Ministerpräsidenten Indiens und Japans in Tokyo,-2.7803717,0.23636363636363636,-2.5440080636363636
44,In Tokio treffen die Premierminister Indiens und Japans zusammen,-2.7809641,0.2727272727272727,-2.508236827272727
45,Indien und Japan treffen sich in Tokio,-2.8091125,0.4909090909090909,-2.318203409090909
46,Treffen zwischen den Staats- und Regierungschefs Indiens und Japans in To,-2.8318965,0.6181818181818182,-2.213714681818182
47,Treffen der Ministerpräsidenten von Indien und Japan in Tokyo,-2.9197052,0.34545454545454546,-2.5742506545454544
48,In Tokio treffen sich indische und japanische Premierminister,-2.9268262000000003,0.5818181818181818,-2.3450080181818187
49,In Tokio treffen sich Premierminister Indiens und Japans .,-2.932403,0.21818181818181817,-2.7142211818181816
50,"Der neue indische Premierminister Narendra Modi trifft seinen japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um Wirtschafts- und Sicherheitsbeziehungen zu erörtern .",-1.9830421999999999,3.5454545454545454,1.5624123454545455
51,"Der neue indische Premierminister Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um Wirtschafts- und Sicherheitsbeziehungen zu erörtern .",-1.9922331999999998,3.690909090909091,1.698675890909091
52,"Der neue indische Premierminister Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um über die Wirtschafts- und Sicherheitsbeziehungen zu",-1.9924578999999998,3.6545454545454548,1.662087554545455
53,"Indiens neuer Premierminister , Narendra Modi , trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um Wirtschafts- und Sicherheitsbeziehungen zu erörtern",-1.9936310000000002,3.6363636363636362,1.642732636363636
54,"Indiens neuer Premierminister , Narendra Modi , trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um die Wirtschafts- und Sicherheitsbeziehungen zu",-1.9943403000000002,3.5454545454545454,1.5511142454545452
55,"Indiens neuer Premierminister , Narendra Modi , trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit der Wahl im Mai , um Wirtschafts- und Sicherheitsbeziehungen zu erörtern .",-2.0014484,3.6,1.5985516
56,"Der neue indische Premierminister Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um über die wirtschaftlichen und sicherheitspolitischen",-2.0131283,3.672727272727273,1.6595989727272729
57,"Indiens neuer Premierminister , Narendra Modi , trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um über die wirtschaftlichen und sicherheit@@",-2.0139806,3.4727272727272727,1.4587466727272727
58,"Der neue indische Premierminister Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit der Wahl im Mai , um Wirtschafts- und Sicherheitsbeziehungen zu erörtern .",-2.016679,3.618181818181818,1.6015028181818183
59,"Indiens neuer Premierminister , Narendra Modi , trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um über wirtschaftliche und sicherheitspolitische",-2.016707,3.5454545454545454,1.5287475454545456
60,"Der neue indische Premierminister Narendra Modi trifft seinen japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um über die Wirtschafts- und Sicherheitsbeziehungen zu sprechen .",-2.02102,3.709090909090909,1.688070909090909
61,"Indiens neuer Premierminister , Narendra Modi , trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um über die Wirtschafts- und Sicherheitsbeziehungen",-2.0211556,3.581818181818182,1.5606625818181818
62,"Der neue indische Ministerpräsident Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um Wirtschafts- und Sicherheitsbeziehungen zu erörtern .",-2.0248604,3.8545454545454545,1.8296850545454544
63,"Der neue indische Premierminister Narendra Modi trifft seinen japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um die Wirtschafts- und Sicherheitsbeziehungen zu erörtern .",-2.025159,3.618181818181818,1.5930228181818182
64,"Der neue indische Ministerpräsident Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um über die Wirtschafts- und Sicherheitsbeziehungen zu",-2.0255158,3.8,1.7744841999999998
65,"Indiens neuer Premierminister , Narendra Modi , trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um über Wirtschafts- und Sicherheitsbeziehungen zu",-2.0415810000000003,3.5636363636363635,1.5220553636363632
66,"Der neue indische Premierminister Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um die Wirtschafts- und Sicherheitsbeziehungen zu erörtern",-2.0434852,3.727272727272727,1.683787527272727
67,"Der neue indische Premierminister Narendra Modi trifft seinen japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um Wirtschafts- und Sicherheitsbeziehungen zu diskutieren .",-2.0443318,3.6,1.5556682
68,"Der neue indische Ministerpräsident Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um über die wirtschaftlichen und sicherheitspolitischen",-2.046869,3.8181818181818183,1.7713128181818183
69,"Der neue indische Premierminister Narendra Modi trifft seinen japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um über die Wirtschafts- und Sicherheitsbeziehungen zu diskutieren .",-2.0610642,3.7636363636363637,1.7025721636363635
70,"Indiens neuer Premierminister , Narendra Modi , trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit der Wahl im Mai , um Wirtschafts- und Sicherheitsbeziehungen zu diskutieren .",-2.061789,3.6545454545454548,1.5927564545454547
71,"Der neue indische Premierminister Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um Wirtschafts- und Sicherheitsbeziehungen zu diskutieren .",-2.0620055,3.7454545454545456,1.6834490454545454
72,"Indiens neuer Premierminister , Narendra Modi , trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um Wirtschafts- und Sicherheitsbeziehungen zu diskutieren",-2.0622651999999997,3.690909090909091,1.6286438909090912
73,"Der neue indische Premierminister Narendra Modi trifft seinen japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um über die wirtschaftlichen und sicherheitspolitischen Beziehungen zu",-2.06245,3.8,1.7375499999999997
74,"Der neue indische Premierminister Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit der Wahl im Mai , um die Wirtschafts- und Sicherheitsbeziehungen zu erörtern .",-2.0631136999999997,3.690909090909091,1.6277953909090912
75,"Indiens neuer Premierminister , Narendra Modi , trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai zu Gesprächen über wirtschaftliche und sicherheitspolitische",-2.0673006000000003,3.709090909090909,1.6417903090909087
76,"Der neue indische Premierminister Narendra Modi trifft seinen japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um über Wirtschafts- und Sicherheitsbeziehungen zu sprechen .",-2.067638,3.6363636363636362,1.5687256363636362
77,"Der neue indische Premierminister Narendra Modi trifft seinen japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um die Wirtschafts- und Sicherheitsbeziehungen zu diskutieren .",-2.0692885,3.672727272727273,1.603438772727273
78,"Der neue indische Premierminister Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um über wirtschaftliche und sicherheitspolitische Beziehungen",-2.073884,3.7818181818181817,1.7079341818181817
79,"Der neue indische Premierminister Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um wirtschaftliche und sicherheitspolitische Beziehungen zu",-2.0777392,3.7454545454545456,1.6677153454545457
80,"Der neue indische Ministerpräsident Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um die Wirtschafts- und Sicherheitsbeziehungen zu erörtern",-2.0778790000000003,3.8727272727272726,1.7948482727272723
81,"Indiens neuer Premierminister , Narendra Modi , trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um die wirtschaftlichen und sicherheitspolitischen",-2.0791802,3.5636363636363635,1.4844561636363633
82,"Der neue indische Premierminister Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit der Wahl im Mai , um Wirtschafts- und Sicherheitsbeziehungen zu diskutieren .",-2.081682,3.672727272727273,1.591045272727273
83,"Indiens neuer Premierminister , Narendra Modi , trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit der Wahl im Mai , um die Wirtschafts- und Sicherheitsbeziehungen zu erörtern .",-2.0855992,3.672727272727273,1.587128072727273
84,"Der neue indische Premierminister Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit der Wahl im Mai , um über die Wirtschafts- und Sicherheitsbeziehungen zu sprechen .",-2.0862894,3.7818181818181817,1.6955287818181817
85,"Indiens neuer Premierminister , Narendra Modi , trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um wirtschaftliche und sicherheitspolitische Beziehungen",-2.0870473,3.672727272727273,1.5856799727272728
86,"Indiens neuer Premierminister , Narendra Modi , trifft auf seinen japanischen Amtskollegen Shinzo Abe in Tokio , um über die Wirtschafts- und Sicherheitsbeziehungen zu sprechen , und zwar bei seinem ersten großen Auslandsbesuch seit dem Wahl@@",-2.092078,3.6,1.5079220000000002
87,"Der neue indische Ministerpräsident Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um Wirtschafts- und Sicherheitsbeziehungen zu diskutieren .",-2.0935566000000003,3.8727272727272726,1.7791706727272723
88,"Der neue indische Premierminister Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um über Wirtschafts- und Sicherheitsbeziehungen zu sprechen",-2.0981255,3.7454545454545456,1.6473290454545455
89,"Der neue indische Premierminister Narendra Modi trifft seinen japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um wirtschaftliche und sicherheitspolitische Beziehungen zu erörtern .",-2.1005827999999998,3.8,1.6994172
90,"Der neue indische Premierminister Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um die Wirtschafts- und Sicherheitsbeziehungen zu diskutieren",-2.102843,3.7818181818181817,1.6789751818181817
91,"Indiens neuer Premierminister , Narendra Modi , trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit der Wahl im Mai , um über wirtschaftliche und sicherheitspolitische Beziehungen zu",-2.1068580000000003,3.7454545454545456,1.6385965454545453
92,"Der neue indische Ministerpräsident Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um über wirtschaftliche und sicherheitspolitische Beziehungen",-2.1071746,3.9272727272727272,1.8200981272727272
93,"Indiens neuer Premierminister , Narendra Modi , trifft auf seinen japanischen Amtskollegen Shinzo Abe in Tokio , um über die Wirtschafts- und Sicherheitsbeziehungen zu sprechen , und zwar bei seinem ersten großen Auslandsbesuch seit der Wahl",-2.1075833,3.5636363636363635,1.4560530636363636
94,"Indiens neuer Premierminister , Narendra Modi , trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit der Wahl im Mai , um über die Wirtschafts- und Sicherheitsbeziehungen zu sprechen",-2.1157223999999997,3.727272727272727,1.6115503272727274
95,"Der neue indische Premierminister Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio , um über die Wirtschafts- und Sicherheitsbeziehungen zu sprechen , und zwar bei seinem ersten großen Auslandsbesuch seit dem Wahl@@",-2.1188765,3.709090909090909,1.5902144090909092
96,"Der neue indische Premierminister Narendra Modi trifft seinen japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um über wirtschaftliche und sicherheitspolitische Beziehungen zu sprechen",-2.1190328999999997,3.8545454545454545,1.7355125545454548
97,"Indiens neuer Premierminister , Narendra Modi , trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um Wirtschafts- und Sicherheitsbeziehungen zu bes@@",-2.1225827,3.581818181818182,1.4592354818181819
98,"Der neue indische Premierminister Narendra Modi trifft seinen japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um über wirtschaftliche und sicherheitspolitische Beziehungen zu diskutieren",-2.1246526,3.890909090909091,1.766256490909091
99,"Der neue indische Premierminister Narendra Modi trifft sich mit seinem japanischen Amtskollegen Shinzo Abe in Tokio anlässlich seines ersten großen Auslandsbesuchs seit dem Wahlsieg im Mai , um über die wirtschaftlichen und sicherheitstechn@@",-2.125163,3.6,1.474837
100,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen zur drittgrößten Volkswirtschaft der Welt zu stärken .",-1.4562466,2.1272727272727274,0.6710261272727274
101,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen mit der drittgrößten Volkswirtschaft der Welt zu stärken .",-1.594555,2.1272727272727274,0.5327177272727275
102,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Verbindungen zur drittgrößten Volkswirtschaft der Welt zu stärken .",-1.6045587,2.1454545454545455,0.5408958454545456
103,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen zur drittgrößten Wirtschaft der Welt zu stärken .",-1.6213857,2.036363636363636,0.4149779363636361
104,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die Wirtschaftsbeziehungen zur drittgrößten Volkswirtschaft der Welt zu stärken .",-1.6466433,1.9454545454545455,0.2988112454545455
105,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen zur drittgrößten Volkswirtschaft der Welt zu festigen .",-1.6790363000000001,2.1454545454545455,0.46641824545454535
106,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Verbindungen mit der drittgrößten Volkswirtschaft der Welt zu stärken .",-1.6799365000000002,2.1454545454545455,0.46551804545454534
107,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die Wirtschaftsbeziehungen mit der drittgrößten Volkswirtschaft der Welt zu stärken .",-1.7287518,2.018181818181818,0.2894300181818181
108,"Herr Modi ist auf seiner fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen zur drittgrößten Volkswirtschaft der Welt zu stärken .",-1.7301083,2.1454545454545455,0.41534624545454557
109,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen zur drittgrößten Volkswirtschaft der Welt zu stärken .",-1.7311192,2.1272727272727274,0.39615352727272746
110,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen mit der drittgrößten Wirtschaft der Welt zu stärken .",-1.7622240000000002,2.109090909090909,0.34686690909090867
111,"Herr Modi ist auf einer fünftägigen Reise nach Japan unterwegs , um die wirtschaftlichen Beziehungen zur drittgrößten Volkswirtschaft der Welt zu stärken .",-1.7623574,2.272727272727273,0.510369872727273
112,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Verbindungen zur drittgrößten Wirtschaft der Welt zu stärken .",-1.7669395,2.0545454545454547,0.28760595454545457
113,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen zur drittgrößten Volkswirtschaft der Welt zu verstärken .",-1.7845665000000002,2.1818181818181817,0.3972516818181815
114,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen mit der drittgrößten Volkswirtschaft der Welt zu festigen .",-1.8047761000000002,2.1454545454545455,0.3406784454545453
115,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Verbindungen zur drittgrößten Volkswirtschaft der Welt zu festigen .",-1.8147105,2.1636363636363636,0.3489258636363637
116,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen zu der drittgrößten Volkswirtschaft der Welt zu stärken .",-1.8204866999999998,2.1636363636363636,0.3431496636363638
117,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die Wirtschaftsbeziehungen zur drittgrößten Wirtschaft der Welt zu stärken .",-1.8219578,1.9636363636363636,0.14167856363636355
118,"Herr Modi befindet sich auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen zur drittgrößten Volkswirtschaft der Welt zu stärken .",-1.8286502,2.2181818181818183,0.38953161818181825
119,"Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen zur drittgrößten Volkswirtschaft der Welt zu stärken .",-1.8304307,2.0545454545454547,0.2241147545454547
120,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Verbindungen mit der drittgrößten Wirtschaft der Welt zu stärken .",-1.8396074,2.1272727272727274,0.2876653272727274
121,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen mit der drittgrößten Volkswirtschaft der Welt zu stärken .",-1.8405641,2.1272727272727274,0.2867086272727275
122,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen zur drittgrößten Wirtschaft der Welt zu festigen .",-1.8441811000000001,2.0545454545454547,0.21036435454545455
123,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Bindungen zur drittgrößten Volkswirtschaft der Welt zu stärken .",-1.8584526000000001,2.090909090909091,0.2324564909090907
124,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die Wirtschaftsbeziehungen zur drittgrößten Volkswirtschaft der Welt zu festigen .",-1.863629,1.981818181818182,0.11818918181818194
125,"Herr Modi ist auf seiner fünftägigen Reise nach Japan , um die wirtschaftlichen Verbindungen zur drittgrößten Volkswirtschaft der Welt zu stärken .",-1.8792738999999998,2.1636363636363636,0.28436246363636375
126,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Verbindungen mit der drittgrößten Volkswirtschaft der Welt zu festigen .",-1.8795605,2.1636363636363636,0.2840758636363636
127,"Herr Modi ist auf seiner fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen mit der drittgrößten Volkswirtschaft der Welt zu stärken .",-1.8820901999999997,2.1272727272727274,0.2451825272727277
128,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Verbindungen zur drittgrößten Volkswirtschaft der Welt zu verstärken .",-1.8855568999999999,2.2,0.3144431000000003
129,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen zur drittgrößten Volkswirtschaft der Welt auszubauen .",-1.8892650000000002,2.1272727272727274,0.23800772727272723
130,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Verbindungen zur drittgrößten Volkswirtschaft der Welt zu stärken .",-1.8900702,2.1454545454545455,0.25538434545454547
131,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen zur drittgrößten Wirtschaft der Welt zu stärken .",-1.8975741000000002,2.036363636363636,0.138789536363636
132,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen zur drittgrößten Volkswirtschaft der Welt zu intensivieren .",-1.9024581000000003,2.2181818181818183,0.315723718181818
133,"Herr Modi ist auf seiner fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen zur drittgrößten Wirtschaft der Welt zu stärken .",-1.9034275,2.0545454545454547,0.15111795454545462
134,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die wirtschaftlichen Beziehungen zur drittgrößten Volkswirtschaft der Welt zu vertiefen .",-1.9035395,2.018181818181818,0.11464231818181814
135,"Herr Modi ist auf einer fünftägigen Reise nach Japan , um die Wirtschaftsbeziehungen mit der drittgrößten Wirtschaft der Welt zu stärken .",-1.9044925,1.9636363636363636,0.0591438636363637
136,"Herr Modi ist auf einer fünftägigen Reise nach Japan unterwegs , um die wirtschaftlichen Beziehungen mit der drittgrößten Volkswirtschaft der Welt zu stärken",-1.9051672,2.272727272727273,0.367560072727273
137,"Herr Modi ist auf einer fünftägigen Reise nach Japan unterwegs , um die wirtschaftlichen Verbindungen zur drittgrößten Volkswirtschaft der Welt zu stärken .",-1.9067183999999997,2.290909090909091,0.3841906909090913
